v1,v2,c1,c2,choice,rt
3,-3,0.1,0.4,0.0454,43.8406
-3,-2,0.1,0.4,0.227,60.8054
-2,-2,0.1,0.4,0.2134,59.737
-1,-2,0.1,0.4,0.1728,58.7822
0,-2,0.1,0.4,0.1604,57.152
1,-2,0.1,0.4,0.1376,55.5044
2,-2,0.1,0.4,0.124,54.1752
3,-2,0.1,0.4,0.1158,53.1022
-3,-1,0.1,0.4,0.4106,67.2402
-2,-1,0.1,0.4,0.3744,66.9632
-1,-1,0.1,0.4,0.3414,64.4952
0,-1,0.1,0.4,0.3136,65.79
1,-1,0.1,0.4,0.2836,64.0502
2,-1,0.1,0.4,0.2568,62.0324
3,-1,0.1,0.4,0.2278,60.5782
-3,0,0.1,0.4,0.602,66.1126
-2,0,0.1,0.4,0.5686,67.116
-1,0,0.1,0.4,0.5368,64.9776
0,0,0.1,0.4,0.4964,67.7506
1,0,0.1,0.4,0.4582,67.7886
2,0,0.1,0.4,0.4352,67.8196
3,0,0.1,0.4,0.4052,67.435
-3,1,0.1,0.4,0.7696,61.5352
-2,1,0.1,0.4,0.7486,61.6322
-1,1,0.1,0.4,0.7166,62.958
0,1,0.1,0.4,0.6796,64.6638
1,1,0.1,0.4,0.6732,65.0298
2,1,0.1,0.4,0.635,66.4396
3,1,0.1,0.4,0.5908,66.538
-3,2,0.1,0.4,0.8858,53.443
-2,2,0.1,0.4,0.8746,54.3536
-1,2,0.1,0.4,0.8534,54.7634
0,2,0.1,0.4,0.838,57.587
1,2,0.1,0.4,0.8108,58.9752
2,2,0.1,0.4,0.7916,60.3878
3,2,0.1,0.4,0.7776,59.8094
-3,3,0.1,0.4,0.9494,45.4352
-2,3,0.1,0.4,0.938,46.8558
-1,3,0.1,0.4,0.925,47.6984
0,3,0.1,0.4,0.9182,49.2916
1,3,0.1,0.4,0.9032,50.74
2,3,0.1,0.4,0.897,51.158
3,3,0.1,0.4,0.8854,51.4216
-3,-3,0.4,0.4,0.263,89.2454
-2,-3,0.4,0.4,0.1762,82.7926
-1,-3,0.4,0.4,0.1252,75.841
0,-3,0.4,0.4,0.0706,70.0326
1,-3,0.4,0.4,0.047,62.729
2,-3,0.4,0.4,0.0274,56.1246
3,-3,0.4,0.4,0.018,51.066
-3,-2,0.4,0.4,0.4546,97.6958
-2,-2,0.4,0.4,0.3378,94.5084
-1,-2,0.4,0.4,0.235,88.8894
0,-2,0.4,0.4,0.1568,81.3438
1,-2,0.4,0.4,0.107,73.6884
2,-2,0.4,0.4,0.0638,66.6388
3,-2,0.4,0.4,0.0374,60.5844
-3,-1,0.4,0.4,0.6468,93.9666
-2,-1,0.4,0.4,0.536,96.056
-1,-1,0.4,0.4,0.4054,97.5454
0,-1,0.4,0.4,0.3026,94.0118
1,-1,0.4,0.4,0.2154,89.3434
2,-1,0.4,0.4,0.1476,82.0648
3,-1,0.4,0.4,0.0974,73.5064
-3,0,0.4,0.4,0.8096,84.497
-2,0,0.4,0.4,0.7258,90.6344
-1,0,0.4,0.4,0.6252,96.9794
0,0,0.4,0.4,0.5114,99.6112
1,0,0.4,0.4,0.3904,98.2664
2,0,0.4,0.4,0.2726,91.2728
3,0,0.4,0.4,0.1982,85.867
-3,1,0.4,0.4,0.9092,71.8572
-2,1,0.4,0.4,0.8726,80.0674
-1,1,0.4,0.4,0.8048,88.1614
0,1,0.4,0.4,0.7188,93.8846
1,1,0.4,0.4,0.5888,97.2118
2,1,0.4,0.4,0.4758,97.5624
3,1,0.4,0.4,0.3586,96.7018
-3,2,0.4,0.4,0.96,59.9726
-2,2,0.4,0.4,0.9332,66.0398
-1,2,0.4,0.4,0.8986,73.6852
0,2,0.4,0.4,0.8426,81.9768
1,2,0.4,0.4,0.7692,89.8616
2,2,0.4,0.4,0.6766,94.6392
3,2,0.4,0.4,0.5632,96.6664
-3,3,0.4,0.4,0.9836,48.5606
-2,3,0.4,0.4,0.9708,55.6552
-1,3,0.4,0.4,0.958,61.2568
0,3,0.4,0.4,0.9282,67.4232
1,3,0.4,0.4,0.8894,74.7734
2,3,0.4,0.4,0.8288,81.6458
3,3,0.4,0.4,0.7454,87.4098
-3,-3,0.7,0.4,0.4376,106.6542
-2,-3,0.7,0.4,0.2814,101.861
-1,-3,0.7,0.4,0.161,91.0104
0,-3,0.7,0.4,0.0812,78.5632
1,-3,0.7,0.4,0.0404,67.6
2,-3,0.7,0.4,0.0168,57.2834
3,-3,0.7,0.4,0.0072,49.766
-3,-2,0.7,0.4,0.6402,105.2448
-2,-2,0.7,0.4,0.461,109.083
-1,-2,0.7,0.4,0.2974,106.8208
0,-2,0.7,0.4,0.17,94.765
1,-2,0.7,0.4,0.0826,80.493
2,-2,0.7,0.4,0.0432,68.3988
3,-2,0.7,0.4,0.018,57.821
-3,-1,0.7,0.4,0.8084,95.35
-2,-1,0.7,0.4,0.6554,106.4236
-1,-1,0.7,0.4,0.4872,113.261
0,-1,0.7,0.4,0.3174,106.4214
1,-1,0.7,0.4,0.1816,95.7452
2,-1,0.7,0.4,0.0866,82.4616
3,-1,0.7,0.4,0.0482,68.5522
-3,0,0.7,0.4,0.906,77.9464
-2,0,0.7,0.4,0.8268,96.0856
-1,0,0.7,0.4,0.674,106.0128
0,0,0.7,0.4,0.5084,112.144
1,0,0.7,0.4,0.332,108.609
2,0,0.7,0.4,0.1946,96.4294
3,0,0.7,0.4,0.1012,81.8418
-3,1,0.7,0.4,0.956,67.9682
-2,1,0.7,0.4,0.915,80.2662
-1,1,0.7,0.4,0.8374,94.0986
0,1,0.7,0.4,0.7054,104.5784
1,1,0.7,0.4,0.5302,110.637
2,1,0.7,0.4,0.3596,105.9626
3,1,0.7,0.4,0.2074,96.26
-3,2,0.7,0.4,0.981,55.545
-2,2,0.7,0.4,0.9636,66.4932
-1,2,0.7,0.4,0.926,79.1218
0,2,0.7,0.4,0.843,91.6652
1,2,0.7,0.4,0.732,103.1976
2,2,0.7,0.4,0.5432,107.4954
3,2,0.7,0.4,0.3744,105.7852
-3,3,0.7,0.4,0.9934,47.5348
-2,3,0.7,0.4,0.9832,56.0404
-1,3,0.7,0.4,0.9648,65.3272
0,3,0.7,0.4,0.9208,78.2294
1,3,0.7,0.4,0.8574,90.093
2,3,0.7,0.4,0.741,102.3074
3,3,0.7,0.4,0.5748,104.9888
-3,-3,1.0,0.4,0.5864,109.0278
-2,-3,1.0,0.4,0.3738,106.9994
-1,-3,1.0,0.4,0.193,98.8426
0,-3,1.0,0.4,0.0892,85.17
1,-3,1.0,0.4,0.0358,69.24
2,-3,1.0,0.4,0.014,56.1578
3,-3,1.0,0.4,0.0042,46.7416
-3,-2,1.0,0.4,0.7472,101.3716
-2,-2,1.0,0.4,0.5704,111.808
-1,-2,1.0,0.4,0.3492,110.8454
0,-2,1.0,0.4,0.1728,96.997
1,-2,1.0,0.4,0.0702,81.0204
2,-2,1.0,0.4,0.031,66.3442
3,-2,1.0,0.4,0.0098,53.4682
-3,-1,1.0,0.4,0.8868,87.5114
-2,-1,1.0,0.4,0.738,104.819
-1,-1,1.0,0.4,0.538,115.968
0,-1,1.0,0.4,0.3122,109.7446
1,-1,1.0,0.4,0.1526,95.4598
2,-1,1.0,0.4,0.069,77.5582
3,-1,1.0,0.4,0.024,63.4936
-3,0,1.0,0.4,0.9552,71.696
-2,0,1.0,0.4,0.8734,89.2708
-1,0,1.0,0.4,0.7302,107.0566
0,0,1.0,0.4,0.5174,114.5906
1,0,1.0,0.4,0.304,109.54
2,0,1.0,0.4,0.1354,94.1354
3,0,1.0,0.4,0.0562,74.142
-3,1,1.0,0.4,0.9812,60.4752
-2,1,1.0,0.4,0.9396,74.3618
-1,1,1.0,0.4,0.857,94.1202
0,1,1.0,0.4,0.6976,107.6918
1,1,1.0,0.4,0.491,114.5032
2,1,1.0,0.4,0.275,107.1566
3,1,1.0,0.4,0.1294,91.579
-3,2,1.0,0.4,0.9918,50.9736
-2,2,1.0,0.4,0.9756,62.81
-1,2,1.0,0.4,0.9382,79.8928
0,2,1.0,0.4,0.8424,96.4186
1,2,1.0,0.4,0.6744,110.6494
2,2,1.0,0.4,0.4594,112.232
3,2,1.0,0.4,0.2528,102.6638
-3,3,1.0,0.4,0.9978,43.7816
-2,3,1.0,0.4,0.9876,53.4136
-1,3,1.0,0.4,0.9724,66.0488
0,3,1.0,0.4,0.9224,79.7618
1,3,1.0,0.4,0.8332,98.56
2,3,1.0,0.4,0.6582,110.3576
3,3,1.0,0.4,0.4334,108.3624
-3,-3,0.1,0.7,0.0406,44.0006
-2,-3,0.1,0.7,0.0388,43.2444
